game=../Common/res/lud/board/war/replacement/eliminate/all/Rempart.lud
START GAME OPTIONS
END GAME OPTIONS
RNG internal state=-35,120,60,-41,-26,-83,-107,123
Move=[Move:mover=0,from=2,to=2,actions=[Add:type=Vertex,to=2,what=1]]
Move=[Move:mover=0,from=6,to=6,actions=[Add:type=Vertex,to=6,what=1]]
Move=[Move:mover=0,from=10,to=10,actions=[Add:type=Vertex,to=10,what=1]]
Move=[Move:mover=0,from=54,to=54,actions=[Add:type=Vertex,to=54,what=1]]
Move=[Move:mover=0,from=58,to=58,actions=[Add:type=Vertex,to=58,what=1]]
Move=[Move:mover=0,from=62,to=62,actions=[Add:type=Vertex,to=62,what=1]]
Move=[Move:mover=0,from=106,to=106,actions=[Add:type=Vertex,to=106,what=1]]
Move=[Move:mover=0,from=110,to=110,actions=[Add:type=Vertex,to=110,what=1]]
Move=[Move:mover=0,from=114,to=114,actions=[Add:type=Vertex,to=114,what=1]]
Move=[Move:mover=0,from=158,to=158,actions=[Add:type=Vertex,to=158,what=1]]
Move=[Move:mover=0,from=162,to=162,actions=[Add:type=Vertex,to=162,what=1]]
Move=[Move:mover=0,from=166,to=166,actions=[Add:type=Vertex,to=166,what=1]]
Move=[Move:mover=0,from=26,to=26,actions=[Add:type=Vertex,to=26,what=2]]
Move=[Move:mover=0,from=30,to=30,actions=[Add:type=Vertex,to=30,what=2]]
Move=[Move:mover=0,from=34,to=34,actions=[Add:type=Vertex,to=34,what=2]]
Move=[Move:mover=0,from=38,to=38,actions=[Add:type=Vertex,to=38,what=2]]
Move=[Move:mover=0,from=78,to=78,actions=[Add:type=Vertex,to=78,what=2]]
Move=[Move:mover=0,from=82,to=82,actions=[Add:type=Vertex,to=82,what=2]]
Move=[Move:mover=0,from=86,to=86,actions=[Add:type=Vertex,to=86,what=2]]
Move=[Move:mover=0,from=90,to=90,actions=[Add:type=Vertex,to=90,what=2]]
Move=[Move:mover=0,from=130,to=130,actions=[Add:type=Vertex,to=130,what=2]]
Move=[Move:mover=0,from=134,to=134,actions=[Add:type=Vertex,to=134,what=2]]
Move=[Move:mover=0,from=138,to=138,actions=[Add:type=Vertex,to=138,what=2]]
Move=[Move:mover=0,from=142,to=142,actions=[Add:type=Vertex,to=142,what=2]]
Move=[Move:mover=1,from=53,to=53,actions=[Add:type=Vertex,to=53,what=1,decision=true]]
Move=[Move:mover=2,from=117,to=117,actions=[Add:type=Vertex,to=117,what=2,decision=true]]
Move=[Move:mover=1,from=59,to=59,actions=[Add:type=Vertex,to=59,what=1,decision=true]]
Move=[Move:mover=2,from=155,to=155,actions=[Add:type=Vertex,to=155,what=2,decision=true]]
Move=[Move:mover=1,from=71,to=71,actions=[Add:type=Vertex,to=71,what=1,decision=true]]
Move=[Move:mover=2,from=129,to=129,actions=[Add:type=Vertex,to=129,what=2,decision=true]]
Move=[Move:mover=1,from=113,to=113,actions=[Add:type=Vertex,to=113,what=1,decision=true]]
Move=[Move:mover=2,from=141,to=141,actions=[Add:type=Vertex,to=141,what=2,decision=true]]
Move=[Move:mover=1,from=115,to=115,actions=[Add:type=Vertex,to=115,what=1,decision=true]]
Move=[Move:mover=2,from=77,to=77,actions=[Add:type=Vertex,to=77,what=2,decision=true]]
Move=[Move:mover=1,from=126,to=126,actions=[Add:type=Vertex,to=126,what=1,decision=true]]
Move=[Move:mover=2,from=37,to=37,actions=[Add:type=Vertex,to=37,what=2,decision=true]]
Move=[Move:mover=1,from=11,to=11,actions=[Add:type=Vertex,to=11,what=1,decision=true]]
Move=[Move:mover=2,from=116,to=116,actions=[Add:type=Vertex,to=116,what=2,decision=true]]
Move=[Move:mover=1,from=111,to=111,actions=[Add:type=Vertex,to=111,what=1,decision=true]]
Move=[Move:mover=2,from=51,to=51,actions=[Add:type=Vertex,to=51,what=2,decision=true]]
Move=[Move:mover=1,from=97,to=97,actions=[Add:type=Vertex,to=97,what=1,decision=true]]
Move=[Move:mover=2,from=137,to=137,actions=[Add:type=Vertex,to=137,what=2,decision=true]]
Move=[Move:mover=1,from=109,to=109,actions=[Add:type=Vertex,to=109,what=1,decision=true]]
Move=[Move:mover=2,from=13,to=13,actions=[Add:type=Vertex,to=13,what=2,decision=true]]
Move=[Move:mover=1,from=105,to=105,actions=[Add:type=Vertex,to=105,what=1,decision=true]]
Move=[Move:mover=2,from=64,to=64,actions=[Add:type=Vertex,to=64,what=2,decision=true]]
Move=[Move:mover=1,from=101,to=101,actions=[Add:type=Vertex,to=101,what=1,decision=true]]
